time,zone_id,out perfect_trips,out perfect_pax,in perfect_trips,in perfect_pax
900,4,0,0,1,1
900,261,1,1,2,2
900,137,1,1,5,5
900,140,0,0,1,1
900,13,1,1,1,1
900,141,2,2,3,3
900,142,7,7,9,9
900,143,1,1,2,2
900,144,6,6,4,4
900,148,8,8,7,7
900,151,1,1,1,1
900,24,0,0,1,1
900,158,8,8,2,2
900,161,4,4,6,6
900,162,2,2,4,4
900,163,1,1,3,3
900,164,10,10,3,3
900,166,1,1,2,2
900,41,1,1,0,0
900,42,1,1,2,2
900,43,1,1,1,1
900,170,2,2,3,3
900,45,0,0,1,1
900,48,10,10,3,3
900,50,3,3,4,4
900,186,2,2,5,5
900,68,8,8,7,7
900,74,0,0,2,2
900,75,1,1,2,2
900,79,9,9,11,11
900,209,0,0,1,1
900,211,8,8,0,0
900,87,0,0,1,1
900,90,5,5,4,4
900,224,0,0,4,4
900,100,3,3,5,5
900,229,0,0,1,1
900,230,10,10,3,3
900,231,3,3,2,2
900,233,1,1,2,2
900,234,6,6,1,1
900,107,5,5,3,3
900,236,0,0,4,4
900,237,2,2,2,2
900,239,1,1,6,6
900,113,1,1,4,4
900,114,6,6,1,1
900,244,0,0,2,2
900,246,2,2,4,4
900,249,8,8,2,2
900,125,0,0,3,3
1800,4,0,0,2,2
1800,261,1,1,1,1
1800,262,1,1,2,2
1800,137,1,1,4,4
1800,141,6,6,1,1
1800,142,3,3,4,4
1800,13,0,0,1,1
1800,144,2,2,0,0
1800,143,0,0,3,3
1800,148,3,3,10,10
1800,151,1,1,0,0
1800,24,0,0,1,1
1800,158,4,4,4,4
1800,161,2,2,0,0
1800,162,1,1,4,4
1800,163,2,2,2,2
1800,164,2,2,3,3
1800,166,2,2,1,1
1800,170,1,1,0,0
1800,43,1,1,0,0
1800,42,0,0,3,3
1800,45,1,1,1,1
1800,48,12,12,2,2
1800,50,2,2,3,3
1800,186,0,0,6,6
1800,68,6,6,5,5
1800,74,0,0,4,4
1800,75,2,2,2,2
1800,79,20,20,2,2
1800,209,1,1,0,0
1800,211,2,2,0,0
1800,87,1,1,1,1
1800,88,0,0,1,1
1800,90,4,4,2,2
1800,100,2,2,1,1
1800,229,3,3,3,3
1800,230,4,4,2,2
1800,231,2,2,3,3
1800,233,0,0,2,2
1800,234,7,7,3,3
1800,107,1,1,7,7
1800,236,2,2,2,2
1800,237,3,3,3,3
1800,238,1,1,4,4
1800,239,2,2,2,2
1800,113,3,3,5,5
1800,114,3,3,6,6
1800,243,0,0,2,2
1800,116,0,0,1,1
1800,246,1,1,5,5
1800,249,11,11,3,3
1800,125,1,1,1,1
2700,261,1,1,2,2
2700,262,0,0,1,1
2700,137,2,2,0,0
2700,140,1,1,1,1
2700,141,1,1,1,1
2700,142,3,3,1,1
2700,143,1,1,0,0
2700,144,3,3,5,5
2700,13,0,0,5,5
2700,148,7,7,8,8
2700,151,3,3,0,0
2700,158,4,4,3,3
2700,161,3,3,1,1
2700,162,0,0,2,2
2700,163,4,4,3,3
2700,164,3,3,3,3
2700,166,0,0,1,1
2700,41,0,0,3,3
2700,170,6,6,2,2
2700,42,0,0,2,2
2700,45,0,0,1,1
2700,48,5,5,2,2
2700,50,2,2,3,3
2700,186,5,5,10,10
2700,68,6,6,4,4
2700,74,0,0,1,1
2700,75,0,0,4,4
2700,79,8,8,8,8
2700,211,1,1,0,0
2700,87,1,1,4,4
2700,88,0,0,1,1
2700,90,1,1,0,0
2700,100,3,3,1,1
2700,229,0,0,2,2
2700,230,6,6,2,2
2700,231,5,5,1,1
2700,233,1,1,5,5
2700,234,4,4,2,2
2700,107,7,7,6,6
2700,236,2,2,1,1
2700,237,3,3,4,4
2700,238,1,1,2,2
2700,239,3,3,0,0
2700,113,2,2,1,1
2700,114,3,3,2,2
2700,116,0,0,1,1
2700,244,0,0,2,2
2700,246,1,1,3,3
2700,249,10,10,8,8
2700,125,4,4,0,0
2700,127,0,0,1,1
3600,4,1,1,0,0
3600,261,0,0,1,1
3600,262,0,0,1,1
3600,137,1,1,6,6
3600,140,1,1,1,1
3600,13,0,0,1,1
3600,142,1,1,1,1
3600,141,0,0,3,3
3600,144,1,1,4,4
3600,148,11,11,5,5
3600,151,0,0,2,2
3600,158,7,7,3,3
3600,161,1,1,3,3
3600,162,4,4,6,6
3600,163,2,2,3,3
3600,164,7,7,3,3
3600,170,4,4,9,9
3600,42,0,0,2,2
3600,45,1,1,0,0
3600,48,4,4,2,2
3600,50,0,0,3,3
3600,186,1,1,2,2
3600,68,2,2,4,4
3600,74,1,1,3,3
3600,75,1,1,1,1
3600,79,12,12,8,8
3600,209,2,2,0,0
3600,211,5,5,3,3
3600,87,0,0,2,2
3600,90,2,2,1,1
3600,224,1,1,2,2
3600,100,3,3,0,0
3600,229,2,2,1,1
3600,230,5,5,0,0
3600,231,3,3,2,2
3600,232,1,1,0,0
3600,233,1,1,2,2
3600,234,3,3,6,6
3600,107,6,6,7,7
3600,237,1,1,1,1
3600,238,1,1,3,3
3600,239,0,0,1,1
3600,113,2,2,1,1
3600,114,12,12,7,7
3600,116,0,0,2,2
3600,244,0,0,2,2
3600,246,2,2,1,1
3600,249,6,6,2,2
3600,125,2,2,0,0
4500,4,1,1,1,1
4500,261,0,0,1,1
4500,137,0,0,4,4
4500,140,2,2,0,0
4500,13,1,1,1,1
4500,142,1,1,0,0
4500,143,1,1,3,3
4500,144,3,3,3,3
4500,141,0,0,2,2
4500,148,18,18,3,3
4500,151,2,2,0,0
4500,24,1,1,0,0
4500,152,0,0,1,1
4500,158,3,3,0,0
4500,161,2,2,1,1
4500,162,3,3,2,2
4500,163,1,1,2,2
4500,164,5,5,3,3
4500,166,0,0,2,2
4500,41,0,0,1,1
4500,170,4,4,3,3
4500,48,3,3,6,6
4500,50,2,2,1,1
4500,186,3,3,2,2
4500,68,3,3,7,7
4500,74,0,0,1,1
4500,75,0,0,1,1
4500,79,8,8,11,11
4500,209,0,0,2,2
4500,211,1,1,0,0
4500,87,0,0,5,5
4500,90,1,1,1,1
4500,224,1,1,3,3
4500,100,3,3,1,1
4500,230,3,3,3,3
4500,231,1,1,4,4
4500,232,1,1,0,0
4500,233,5,5,2,2
4500,234,5,5,3,3
4500,107,1,1,5,5
4500,236,1,1,3,3
4500,237,0,0,1,1
4500,238,2,2,1,1
4500,239,2,2,4,4
4500,113,0,0,2,2
4500,114,8,8,2,2
4500,116,0,0,1,1
4500,244,0,0,1,1
4500,246,2,2,3,3
4500,249,10,10,5,5
5400,4,1,1,0,0
5400,261,0,0,2,2
5400,262,0,0,2,2
5400,137,3,3,6,6
5400,140,1,1,1,1
5400,141,1,1,2,2
5400,142,2,2,5,5
5400,13,0,0,1,1
5400,144,6,6,0,0
5400,148,14,14,5,5
5400,151,1,1,2,2
5400,152,0,0,1,1
5400,158,5,5,3,3
5400,161,1,1,1,1
5400,162,0,0,1,1
5400,163,4,4,0,0
5400,164,6,6,3,3
5400,166,0,0,1,1
5400,170,6,6,8,8
5400,45,2,2,1,1
5400,48,7,7,7,7
5400,50,3,3,6,6
5400,186,3,3,4,4
5400,68,3,3,7,7
5400,74,0,0,2,2
5400,79,14,14,4,4
5400,209,1,1,2,2
5400,211,2,2,1,1
5400,87,0,0,1,1
5400,88,0,0,1,1
5400,90,3,3,4,4
5400,100,1,1,1,1
5400,229,1,1,4,4
5400,230,4,4,4,4
5400,231,3,3,1,1
5400,232,0,0,1,1
5400,233,2,2,2,2
5400,234,8,8,5,5
5400,107,3,3,10,10
5400,236,1,1,3,3
5400,237,0,0,5,5
5400,238,1,1,2,2
5400,239,1,1,2,2
5400,113,2,2,2,2
5400,114,14,14,8,8
5400,243,0,0,2,2
5400,116,1,1,0,0
5400,244,0,0,1,1
5400,246,3,3,4,4
5400,249,7,7,1,1
5400,125,2,2,0,0
5400,127,0,0,1,1
6300,4,1,1,1,1
6300,262,0,0,1,1
6300,137,3,3,5,5
6300,140,1,1,1,1
6300,141,1,1,1,1
6300,142,2,2,2,2
6300,143,2,2,1,1
6300,144,4,4,5,5
6300,13,0,0,1,1
6300,148,12,12,1,1
6300,158,6,6,1,1
6300,161,1,1,3,3
6300,162,1,1,1,1
6300,163,1,1,4,4
6300,164,4,4,1,1
6300,166,0,0,2,2
6300,41,1,1,0,0
6300,170,1,1,4,4
6300,42,0,0,1,1
6300,43,0,0,1,1
6300,48,4,4,1,1
6300,50,2,2,1,1
6300,186,1,1,1,1
6300,68,1,1,3,3
6300,74,0,0,2,2
6300,75,0,0,2,2
6300,79,13,13,10,10
6300,209,1,1,1,1
6300,87,0,0,2,2
6300,88,1,1,0,0
6300,90,1,1,2,2
6300,100,4,4,1,1
6300,229,2,2,4,4
6300,230,3,3,2,2
6300,231,3,3,3,3
6300,232,1,1,1,1
6300,233,0,0,5,5
6300,234,1,1,0,0
6300,107,3,3,4,4
6300,236,0,0,1,1
6300,237,2,2,0,0
6300,238,1,1,2,2
6300,239,1,1,1,1
6300,113,3,3,1,1
6300,114,6,6,3,3
6300,116,0,0,1,1
6300,246,1,1,5,5
6300,249,3,3,2,2
6300,125,1,1,1,1
6300,127,0,0,1,1
7200,137,1,1,2,2
7200,140,0,0,1,1
7200,13,0,0,1,1
7200,142,0,0,2,2
7200,144,3,3,1,1
7200,148,9,9,2,2
7200,152,0,0,1,1
7200,158,4,4,1,1
7200,161,1,1,0,0
7200,162,2,2,0,0
7200,163,1,1,2,2
7200,164,3,3,2,2
