sim_time,reservation_time_trigger,charging_strategy,repositioning_strategy,user_requests
9000,0.0,0.002,0.289,0.009869999999999999
9060,0.0,0.001,0.0,0.00211
9120,0.0,0.001,0.0,0.0
9180,0.0,0.001,0.0,0.00225
9240,0.0,0.001,0.0,0.00416
9300,0.0,0.001,0.365,0.00403
9360,0.0,0.001,0.0,0.0043300000000000005
9420,0.0,0.001,0.0,0.00665
9480,0.0,0.001,0.0,0.00865
9540,0.0,0.001,0.0,0.00217
9600,0.0,0.001,0.285,0.0
9660,0.0,0.002,0.0,0.00224
9720,0.0,0.002,0.0,0.00918
9780,0.0,0.001,0.0,0.0
9840,0.0,0.002,0.0,0.00855
9900,0.0,0.002,0.327,0.00227
9960,0.0,0.004,0.0,0.007089999999999999
10020,0.0,0.001,0.0,0.007890000000000001
10080,0.0,0.001,0.0,0.00207
10140,0.0,0.001,0.0,0.00431
10200,0.0,0.001,0.293,0.00236
10260,0.0,0.001,0.0,0.0043
10320,0.0,0.001,0.0,0.00593
10380,0.0,0.001,0.0,0.00218
10440,0.0,0.001,0.0,0.004229999999999999
10500,0.0,0.002,0.291,0.00834
10560,0.0,0.001,0.0,0.00208
10620,0.0,0.002,0.0,0.00406
10680,0.0,0.001,0.0,0.0
10740,0.0,0.001,0.0,0.00228
10800,0.0,0.001,0.284,0.00473
10860,0.0,0.001,0.0,0.0
10920,0.0,0.001,0.0,0.00247
10980,0.0,0.001,0.0,0.00233
11040,0.0,0.001,0.0,0.0
11100,0.0,0.001,0.288,0.0042
11160,0.0,0.001,0.0,0.00208
11220,0.0,0.0,0.0,0.0026
11280,0.0,0.0,0.0,0.0
11340,0.0,0.001,0.0,0.0
11400,0.0,0.0,0.285,0.00234
11460,0.0,0.001,0.0,0.0026
11520,0.0,0.0,0.0,0.00204
11580,0.0,0.0,0.0,0.0063300000000000006
11640,0.0,0.0,0.0,0.0023
11700,0.0,0.0,0.349,0.0
11760,0.0,0.001,0.0,0.00471
11820,0.0,0.001,0.0,0.0
11880,0.0,0.0,0.0,0.00285
11940,0.0,0.002,0.0,0.00449
12000,0.0,0.001,0.345,0.0
12060,0.0,0.002,0.0,0.00461
12120,0.0,0.0,0.0,0.00213
12180,0.0,0.0,0.0,0.0
12240,0.0,0.001,0.0,0.00236
12300,0.0,0.0,0.353,0.0
12360,0.0,0.0,0.0,0.00233
12420,0.0,0.0,0.0,0.0
12480,0.0,0.0,0.0,0.0
12540,0.0,0.0,0.0,0.00263
12600,0.0,0.0,0.291,0.0
12660,0.0,0.0,0.0,0.0
12720,0.0,0.0,0.0,0.00268
12780,0.0,0.0,0.0,0.0063300000000000006
12840,0.0,0.0,0.0,0.0
