time,event,station_id,ch_op_id,vid,op_id,veh_type,current_soc,socket_id,socket_power,initial_soc,transferred_power,connection_duration
1566.2136843921298,detach,13,0,44,0,2019_fiat_500e,1.0,1,40,0.479,12.492152048801442,1124.2936843921298
1768.7561701175073,detach,14,0,38,0,2019_fiat_500e,1.0,0,40,0.412,14.102846334638965,1269.2561701175068
1967.8777194745207,detach,14,0,40,0,2019_fiat_500e,1.0,1,40,0.408,14.204419105272443,1278.3977194745198
1986.227525712049,detach,13,0,5,0,2019_fiat_500e_driver_vehtype_HT,1.0,0,40,0.375,15.011305841244994,1351.017525712049
2161.616492543498,detach,10,0,4,0,2019_fiat_500e_driver_vehtype_HT,1.0,0,40,0.43,13.687738806038858,1231.8964925434975
2502.8958875425515,detach,10,0,37,0,2019_fiat_500e,1.0,2,40,0.477,12.557176528250562,1130.1458875425508
2664.184600638273,detach,10,0,11,0,2019_fiat_500e_driver_vehtype_HT,1.0,1,40,0.39,14.633273340425209,1316.994600638269
3013.471722978573,detach,14,0,39,0,2019_fiat_500e,1.0,0,40,0.431,13.653463588650801,1228.8117229785723
3320.494478828738,detach,5,0,41,0,2019_fiat_500e,1.0,1,40,0.443,13.365827542541512,1202.924478828736
3451.399167967492,detach,13,0,6,0,2019_fiat_500e_driver_vehtype_HT,1.0,0,40,0.344,15.740546310749853,1416.6491679674866
3897.9070350995544,detach,14,0,51,0,2019_nissan_leaf_sl_plus,1.0,2,40,0.482,32.13996705666168,2892.597035099554
3852.764784465937,detach,5,0,55,0,2019_nissan_leaf_sl_plus,1.0,0,40,0.462,33.37971982739927,3004.1747844659367
3951.4878178519725,detach,10,0,48,0,2019_fiat_500e,1.0,0,40,0.387,14.702309087244144,1323.2078178519728
4012.449728741842,detach,11,0,46,0,2019_fiat_500e,1.0,0,40,0.453,13.128774763798246,1181.589728741842
4316.034625496719,detach,10,0,57,0,2019_nissan_leaf_sl_plus,1.0,3,40,0.492,31.486273616630175,2833.7646254967176
4322.452506617689,detach,14,0,45,0,2019_fiat_500e,1.0,0,40,0.462,12.91558340686321,1162.4025066176891
4759.325336583073,detach,10,0,9,0,2019_fiat_500e_driver_vehtype_HT,1.0,1,40,0.439,13.45228151758971,1210.7053365830734
4996.863519893435,detach,13,0,43,0,2019_fiat_500e,1.0,0,40,0.376,14.983816887704835,1348.5435198934356
5287.82309669211,detach,13,0,13,0,2019_nissan_leaf_sl_plus_driver_vehtype_HT,1.0,1,40,0.475,32.553034407690085,2929.77309669211
5383.861536966274,detach,14,0,10,0,2019_fiat_500e_driver_vehtype_HT,1.0,2,40,0.386,14.729905966291934,1325.6915369662738
