,operator_id,vehicle_id,final_soc,satisfied_passengers,final_shift_time,final_break_times,final_break_points,final_bw_shifts,shift_type,worked_total,total_overtime,on_which_day,rested_total,final_node_index,final_time
38,0,38,0.929320962962963,98,0.0,[],[],251947.34784000012,DRIVER_SHIFTS.NIGHT_SHIFT,8859.0,0.0,5,0.0,2440,0.0
39,0,39,0.8886339259259258,78,0.0,[],[],334752.0815200003,DRIVER_SHIFTS.NIGHT_SHIFT,14988.0,0.0,5,0.0,170,0.0
40,0,40,0.6062006666666667,69,0.0,[],[],172778.2099999998,DRIVER_SHIFTS.NIGHT_SHIFT,21971.0,0.0,5,0.0,107,0.0
41,0,41,0.7183661481481484,78,0.0,[],[],176352.4413600003,DRIVER_SHIFTS.NIGHT_SHIFT,14685.0,0.0,5,0.0,1901,0.0
42,0,42,0.6454192592592594,110,0.0,[],[],338381.8590537578,DRIVER_SHIFTS.NIGHT_SHIFT,18528.0,0.0,5,0.0,230,0.0
43,0,43,0.6165747407407409,57,30351.69160000079,[2700],[18000],0.0,DRIVER_SHIFTS.NIGHT_SHIFT,3446.3083999992086,0.0,4,0.0,234,0.0
44,0,44,1.0,29,33637.66992000025,"[1272, 1592, 1384]","[1587, 9355, 21025]",0.0,DRIVER_SHIFTS.NIGHT_SHIFT,21.330079999752343,0.0,6,38.66992000024766,2756,0.0
45,0,45,0.6016794074074071,80,0.0,[],[],259185.19696000073,DRIVER_SHIFTS.NIGHT_SHIFT,17170.0,0.0,5,0.0,170,0.0
46,0,46,0.547368962962963,73,0.0,[],[],341996.07942916744,DRIVER_SHIFTS.NIGHT_SHIFT,12356.0,0.0,5,0.0,1972,0.0
47,0,47,1.0,80,0.0,[],[],63.95252439766773,DRIVER_SHIFTS.NIGHT_SHIFT,34084.0,0.0,4,0.0,1810,0.0
48,0,48,0.8885814074074075,48,0.0,[],[],269991.5172,DRIVER_SHIFTS.NIGHT_SHIFT,14090.0,0.0,5,0.0,4235,0.0
49,0,49,0.5418815555555556,64,0.0,[],[],259163.87996368215,DRIVER_SHIFTS.NIGHT_SHIFT,16706.0,0.0,5,0.0,1901,0.0
50,0,50,0.7259682962962962,51,0.0,[],[],3574.967520000195,DRIVER_SHIFTS.NIGHT_SHIFT,35858.0,0.0,3,0.0,234,0.0
51,0,51,1.0,100,0.0,[],[],161958.73385956849,DRIVER_SHIFTS.NIGHT_SHIFT,5477.0,0.0,5,0.0,1950,0.0
52,0,52,0.5218120740740737,73,0.0,[],[],255582.71832000086,DRIVER_SHIFTS.NIGHT_SHIFT,15548.0,0.0,5,0.0,141,0.0
53,0,53,0.8924589629629629,54,0.0,[],[],82768.1587200001,DRIVER_SHIFTS.NIGHT_SHIFT,15720.0,0.0,5,0.0,239,0.0
54,0,54,1.0,46,0.0,[],[],90045.05000000005,DRIVER_SHIFTS.NIGHT_SHIFT,22039.0,0.0,5,0.0,2756,0.0
55,0,55,1.0,80,0.0,[],[],169188.60815491405,DRIVER_SHIFTS.NIGHT_SHIFT,18047.0,0.0,5,0.0,1832,0.0
56,0,56,0.6430435555555557,100,2242.3232804609897,[],[],0.0,DRIVER_SHIFTS.NIGHT_SHIFT,7971.67671953901,0.0,5,0.0,164,0.0
57,0,57,1.0,92,0.0,[],[],190.00016000112373,DRIVER_SHIFTS.NIGHT_SHIFT,34391.0,0.0,4,0.0,1810,0.0
58,0,58,0.5066797037037037,62,0.0,[],[],165568.67015999998,DRIVER_SHIFTS.NIGHT_SHIFT,15210.0,0.0,5,0.0,3747,0.0
59,0,59,0.6322383703703705,73,0.0,[],[],255552.67392000026,DRIVER_SHIFTS.NIGHT_SHIFT,7727.0,0.0,5,0.0,68,0.0
60,0,60,1.0,41,0.0,[],[],82744.17232000016,DRIVER_SHIFTS.NIGHT_SHIFT,13661.0,0.0,5,0.0,270,0.0
61,0,61,0.6126527407407408,77,0.0,[],[],165567.06960566045,DRIVER_SHIFTS.NIGHT_SHIFT,11433.0,0.0,5,0.0,246,0.0
62,0,62,0.7721145185185188,45,0.0,[],[],10745.508372034776,DRIVER_SHIFTS.NIGHT_SHIFT,33592.0,0.0,4,0.0,41,0.0
