node_index,zone_id,is_centroid
0,24,0
1,24,0
2,151,0
3,24,0
4,24,0
5,24,0
6,151,0
7,151,0
8,24,0
9,24,0
10,24,0
11,24,0
12,151,1
13,151,0
14,151,0
15,24,0
16,151,0
17,151,0
18,151,0
19,24,0
20,24,0
21,151,0
22,151,0
23,151,0
24,24,0
25,24,0
26,151,0
27,24,0
28,24,0
29,24,0
30,24,0
31,24,0
32,151,0
33,24,0
34,151,0
35,151,0
36,24,0
37,151,0
38,151,0
39,151,0
40,151,0
41,24,0
42,151,0
43,24,0
44,24,0
45,239,0
46,239,0
47,239,0
48,239,0
49,239,0
50,239,0
51,239,0
52,239,0
53,239,0
54,239,0
55,239,0
56,239,0
57,239,0
58,239,0
59,239,0
60,239,0
61,239,0
62,239,0
63,239,0
64,239,0
65,239,0
66,239,0
67,239,0
68,239,0
69,239,0
70,239,0
71,239,0
72,239,0
73,239,0
74,239,0
75,239,0
76,239,0
77,239,0
78,239,0
79,239,0
80,239,0
81,239,0
82,239,0
83,239,0
84,239,0
85,243,0
86,243,0
87,243,0
88,243,0
89,243,0
90,243,0
91,243,0
92,243,0
93,243,0
94,243,0
95,243,0
96,243,0
97,243,0
98,243,1
99,243,0
100,243,0
101,243,0
102,243,0
103,243,0
104,243,0
105,243,0
106,243,0
107,243,1
108,243,0
109,120,0
110,120,0
111,243,0
112,243,0
113,243,0
114,239,0
115,239,0
116,239,0
117,239,0
118,239,0
119,239,0
120,239,0
121,239,0
122,239,0
123,43,0
124,238,0
125,238,0
126,239,0
127,239,0
128,239,0
129,238,0
130,239,0
131,238,0
132,238,0
133,239,0
134,239,0
135,239,0
136,239,0
137,239,0
138,239,0
139,238,0
140,239,0
141,238,0
142,238,0
143,238,0
144,238,0
145,4,0
146,4,0
147,4,0
148,4,0
149,4,0
150,4,0
151,4,0
152,4,0
153,4,0
154,4,0
155,4,0
156,4,0
157,79,0
158,79,0
159,79,0
160,4,0
161,4,0
162,166,0
163,166,0
164,152,0
165,166,0
166,166,0
167,166,0
168,152,0
169,166,0
170,152,0
171,166,0
172,166,0
173,166,0
174,166,0
175,166,0
176,166,0
177,152,0
178,166,0
179,166,0
180,152,0
181,152,0
182,166,0
183,166,0
184,166,0
185,166,0
186,166,0
187,166,0
188,166,0
189,166,0
190,166,0
191,166,0
192,166,0
193,166,0
194,166,0
195,166,0
196,113,0
197,249,0
198,113,0
199,249,0
200,113,0
201,113,0
202,113,0
203,249,0
204,249,0
205,249,0
206,113,0
207,113,0
208,113,0
209,113,0
210,113,0
211,113,0
212,113,0
213,249,0
214,249,0
215,249,0
216,249,0
217,249,0
218,113,0
219,87,0
220,87,0
221,87,0
222,87,0
223,88,0
224,87,0
225,87,0
226,87,0
227,87,0
228,88,0
229,88,0
230,88,0
231,88,0
232,87,0
233,87,0
234,87,0
235,87,0
236,87,0
237,87,0
238,87,0
239,87,0
240,88,0
241,88,0
242,87,0
243,87,0
244,88,0
245,88,0
246,88,0
247,88,0
248,88,0
249,142,0
250,142,0
251,142,0
252,142,0
253,142,0
254,142,0
255,142,0
256,142,0
257,142,0
258,142,0
259,142,0
260,142,0
261,142,0
262,142,0
263,142,0
264,142,0
265,142,0
266,143,0
267,142,0
268,142,0
269,142,0
270,142,0
271,142,0
272,142,0
273,143,0
274,143,0
275,143,0
276,143,0
277,143,0
278,143,0
279,143,0
280,143,0
281,143,0
282,143,0
283,143,0
284,143,0
285,50,0
286,238,0
287,238,0
288,238,0
289,238,0
290,238,0
291,238,0
292,238,0
293,238,0
294,238,0
295,238,0
296,238,0
297,238,0
298,238,0
