time,event,station_id,ch_op_id,vid,op_id,veh_type,current_soc,socket_id,socket_power,initial_soc,transferred_power,connection_duration
1755.2072394745205,detach,14,0,8,0,2019_fiat_500e,1.0,1,40,0.44,13.437969327494667,1209.41723947452
2000.5164057120492,detach,13,0,2,0,2019_fiat_500e,1.0,0,40,0.372,15.0628489523561,1355.656405712049
1990.5728883808833,detach,14,0,6,0,2019_fiat_500e,1.0,0,40,0.404,14.303698759787585,1287.3328883808827
2099.517329032314,detach,5,0,9,0,2019_fiat_500e,1.0,0,40,0.445,13.323748100359044,1199.137329032314
2425.1052406382696,detach,10,0,12,0,2019_fiat_500e,1.0,3,40,0.426,13.771724895980762,1239.4552406382686
2569.0189254606967,detach,10,0,0,0,2019_fiat_500e,1.0,2,40,0.472,12.677210282896601,1140.9489254606942
2602.3763043653344,detach,13,0,1,0,2019_fiat_500e,1.0,1,40,0.303,16.735847826281486,1506.2263043653338
2660.684144810235,detach,9,0,15,0,2019_fiat_500e,1.0,0,40,0.449,13.2176016090026,1189.5841448102337
2990.40451966816,detach,14,0,7,0,2019_fiat_500e,1.0,1,40,0.432,13.639716885201777,1227.5745196681596
3222.809372543501,detach,10,0,5,0,2019_fiat_500e,1.0,0,40,0.299,16.831993028261074,1514.8793725434966
3270.858532407576,detach,5,0,11,0,2019_fiat_500e,1.0,0,40,0.458,13.014902259725138,1171.3412033752625
4186.256944584147,detach,5,0,16,0,2019_nissan_leaf_sl_plus,1.0,1,40,0.461,33.434410495379375,3009.0969445841465
4459.946030645938,detach,10,0,3,0,2019_fiat_500e,1.0,0,40,0.473,12.656733673843755,1139.106030645938
4480.568209896705,detach,13,0,4,0,2019_fiat_500e,1.0,1,40,0.367,15.198313443296792,1367.848209896711
4637.100006808228,detach,14,0,10,0,2019_fiat_500e,1.0,1,40,0.364,15.265555631202513,1373.900006808226
4745.00819132509,detach,1,0,26,0,2019_nissan_leaf_sl_plus,1.0,0,40,0.443,34.52942434805649,3107.6481913250864
5155.077256047687,detach,13,0,25,0,2019_nissan_leaf_sl_plus,1.0,0,40,0.454,33.864191733863116,3047.777256047683
5101.5800815455905,detach,14,0,35,0,2022_bmw_i4_m50,1.0,2,40,0.475,44.05233423939523,3964.7100815455897
5253.758991080373,detach,9,0,13,0,2019_fiat_500e,1.0,1,40,0.414,14.073433234226426,1266.608991080379
5392.323559155355,detach,11,0,14,0,2019_fiat_500e,1.0,0,40,0.412,14.120928435059497,1270.8835591553543
5715.310273981342,detach,10,0,40,0,2022_bmw_i4_m50,1.0,1,40,0.471,44.369114155347994,3993.2202739813383
5792.220696544068,detach,10,0,18,0,2019_nissan_leaf_sl_plus,1.0,2,40,0.467,33.04534107271185,2974.080696544068
5791.408647473776,detach,14,0,30,0,2019_nissan_leaf_sl_plus,1.0,0,40,0.452,33.94987386081971,3055.488647473776
6832.272415246265,detach,9,0,19,0,2019_nissan_leaf_sl_plus,1.0,0,40,0.48,32.25891572495847,2903.3024152462654
7170.374606945931,detach,10,0,38,0,2022_bmw_i4_m50,1.0,3,40,0.476,43.957606743843456,3956.184606945931
7411.315840000001,detach,14,0,12,0,2019_fiat_500e,1.0,2,40,0.474,12.617953777777778,1135.6158400000004
7694.948160000004,detach,11,0,7,0,2019_fiat_500e,1.0,1,40,0.401,14.377646222222225,1293.9881599999999
7874.752960000002,detach,1,0,11,0,2019_fiat_500e,1.0,0,40,0.454,13.110144000000002,1179.9129600000006
7863.985481674688,detach,5,0,33,0,2022_bmw_i4_m50,1.0,0,40,0.446,46.51172757416299,4186.055481674688
7978.831199999993,detach,13,0,15,0,2019_fiat_500e,1.0,0,40,0.391,14.619457777777779,1315.7511999999997
8384.446242711701,detach,14,0,22,0,2019_nissan_leaf_sl_plus,1.0,1,40,0.461,33.401847141241106,3006.1662427117017
8429.352960000002,detach,9,0,9,0,2019_fiat_500e,1.0,1,40,0.48,12.486810666666662,1123.8129599999993
8521.192160000006,detach,1,0,2,0,2019_fiat_500e,1.0,1,40,0.431,13.652357333333333,1228.71216
8708.69848,detach,9,0,1,0,2019_fiat_500e,1.0,0,40,0.488,12.294760888888888,1106.5284800000009
8713.18938473531,detach,13,0,46,0,2022_bmw_i4_m50,1.0,1,40,0.465,44.909882052614336,4041.8893847353092
8778.760209075772,detach,5,0,39,0,2022_bmw_i4_m50,1.0,1,40,0.465,44.895557878619464,4040.600209075772
8830.782720000001,detach,10,0,5,0,2019_fiat_500e,1.0,2,40,0.367,15.186030222222227,1366.7427200000002
