,operator_id,vehicle_id,final_soc,satisfied_passengers,final_node_index,final_time
0,0,0,0.9348375555555555,752,161,0.0
1,0,1,0.8127217777777778,729,237,0.0
2,0,2,0.7496162592591934,736,127,1103.6880000000237
3,0,3,0.7580747407407405,706,229,0.0
4,0,4,0.5142868888888891,679,113,0.0
5,0,5,0.6233816844365712,697,234,0.0
6,0,6,0.5805048888888567,673,127,1106.5339200000162
7,0,7,0.8455958518518519,710,161,0.0
8,0,8,0.6072745185185183,699,229,0.0
9,0,9,0.8909075555555557,691,170,0.0
10,0,10,0.889337851851852,648,142,0.0
11,0,11,0.8130142962962967,689,236,0.0
12,0,12,0.3991027282650783,654,1950,1328.8738399999565
13,0,13,0.683416814814815,688,100,0.0
14,0,14,0.5276562222223066,673,270,1153.0
15,0,15,0.5505482962962964,697,43,0.0
16,0,16,0.884356951957731,746,162,3840.2625820809044
17,0,17,0.6302459826589588,723,170,0.0
18,0,18,0.7467220882797534,800,270,2797.770230635826
19,0,19,0.9238733445835056,726,246,314.95000000001164
20,0,20,0.9034706358381501,783,170,0.0
21,0,21,0.6031462460894753,748,270,2877.3697369942092
22,0,22,0.6458480057803464,749,170,0.0
23,0,23,0.5260182080924849,725,230,0.0
24,0,24,0.8755668497109825,780,229,0.0
25,0,25,0.6973395926823764,750,1950,2851.0121393063455
26,0,26,0.5563997687861267,746,229,0.0
27,0,27,0.5306068497109818,736,239,0.0
28,0,28,0.5753834393063577,748,230,0.0
29,0,29,0.9191660693641613,758,229,0.0
30,0,30,0.8013359826589591,732,229,0.0
31,0,31,0.5990655491329481,722,42,0.0
32,0,32,0.6306060404624272,766,230,0.0
33,0,33,0.5757170784313694,780,68,0.0
34,0,34,0.6079442941176435,762,233,0.0
35,0,35,0.8666544705882329,752,163,0.0
36,0,36,0.8172903529411736,726,236,0.0
37,0,37,0.6413070196078408,761,234,0.0
38,0,38,0.7504760196078403,741,100,0.0
39,0,39,0.6759220784313695,761,162,0.0
40,0,40,0.9689683057973595,747,79,3985.9133706426364
41,0,41,0.9170577450980367,672,100,0.0
42,0,42,0.8955792156254927,768,231,4495.456164048286
43,0,43,0.6309393921568608,773,239,0.0
44,0,44,0.9115390980392132,754,170,0.0
45,0,45,0.6351712941176441,721,230,0.0
46,0,46,0.5640888627450948,806,237,0.0
47,0,47,0.7094514901960757,729,100,0.0
48,0,48,0.826519588235291,735,68,0.0
49,0,49,0.815590588235291,710,230,0.0
