charging_station_id,charging_units,node_index
0,40.0:1;50.0:0,1384
1,40.0:2;50.0:0,4046
2,40.0:4;50.0:0,1810
3,40.0:21;50.0:0,3599
4,40.0:2;50.0:0,582
5,40.0:2;50.0:0,2756
6,40.0:3;50.0:0,1305
7,40.0:4;50.0:0,1795
8,40.0:3;50.0:0,1431
9,40.0:2;50.0:0,1832
10,40.0:4;50.0:0,270
11,40.0:4;50.0:0,2827
12,40.0:3;50.0:0,1725
13,40.0:2;50.0:0,127
14,40.0:3;50.0:0,1950
15,40.0:3;50.0:0,2722
16,40.0:2;50.0:0,597
