vtype_name_full,2022_bmw_i4_m50_night_driver_vehtype
maximum_passengers,5
daily_fix_cost [cent],2500
per_km_cost [cent],25
battery_size [kWh],83.9
range [km],510
source,
shift_file,longer_shift_night.csv
