simulation_time,driving,break,on shift break,idle,charging,reposition
0,0,0,162,38,0,0
900,21,4,162,8,2,0
1800,13,4,162,10,9,0
2700,18,2,162,8,8,0
3600,19,2,157,15,7,0
4500,17,1,157,14,8,0
5400,25,2,157,8,5,0
6300,19,3,157,7,12,0
7200,21,1,149,8,18,0
8100,12,0,149,17,15,0
9000,14,0,149,23,13,0
9900,8,2,149,29,9,0
10800,11,2,133,48,6,0
11700,7,6,133,49,5,0
12600,4,7,133,54,2,0
13500,1,3,133,56,4,0
14400,5,3,133,57,1,0
15300,0,5,133,61,0,0
16200,2,4,133,61,0,0
17100,0,3,133,64,0,0
18000,0,6,133,61,0,0
18900,0,4,134,62,0,0
19800,0,3,135,62,0,0
20700,0,9,136,55,0,0
21600,2,7,118,73,0,0
22500,3,6,118,73,0,0
23400,1,6,118,72,1,0
24300,1,10,119,67,2,0
25200,1,14,113,72,0,0
26100,5,14,116,63,0,0
27000,3,8,119,68,2,0
27900,6,8,120,64,2,0
28800,3,7,110,78,2,0
29700,7,6,112,70,4,0
30600,6,8,114,69,3,0
31500,7,15,116,59,3,0
32400,6,15,105,67,6,0
33300,12,10,105,68,4,0
34200,19,10,108,58,3,0
35100,19,8,111,52,6,0
36000,16,13,108,50,12,0
36900,22,11,110,45,9,0
37800,29,10,110,42,8,0
38700,22,12,113,38,11,0
39600,34,4,104,49,4,0
40500,17,6,104,66,7,0
41400,17,7,105,59,11,0
42300,24,8,107,43,14,0
43200,13,8,101,62,14,0
44100,46,9,102,28,11,0
45000,39,6,101,32,16,0
45900,39,4,104,36,16,0
46800,31,12,108,29,17,0
47700,34,12,110,22,17,0
48600,45,8,112,13,12,0
49500,33,7,114,25,14,0
50400,35,3,119,23,17,0
51300,28,5,123,24,16,0
52200,31,3,123,14,22,0
53100,36,4,124,9,24,0
54000,30,4,125,17,23,0
54900,32,5,127,9,22,0
55800,38,2,128,9,19,0
56700,36,3,128,10,18,0
57600,36,1,129,11,20,0
58500,26,0,129,26,16,0
59400,37,0,129,17,11,0
60300,28,0,130,25,9,0
61200,34,0,132,24,7,0
62100,30,1,134,19,10,0
63000,34,1,135,9,11,0
63900,33,0,140,7,15,0
64800,23,0,146,5,18,0
65700,30,0,147,2,17,0
66600,28,0,149,3,13,0
67500,25,1,151,0,14,0
68400,23,0,151,1,17,0
69300,21,0,153,2,19,0
70200,18,0,155,2,19,0
71100,18,0,159,2,10,0
72000,23,0,152,6,10,0
72900,26,1,154,7,6,0
73800,21,1,156,9,5,0
74700,24,0,159,7,8,0
75600,25,0,152,11,7,0
76500,28,2,151,6,8,0
77400,20,4,152,8,11,0
78300,23,4,155,3,9,0
79200,24,2,148,10,12,0
80100,22,4,151,3,11,0
81000,24,3,153,5,9,0
81900,24,1,154,8,7,0
82800,25,2,150,9,7,0
83700,23,3,152,4,11,0
84600,25,1,152,1,18,0
85500,18,0,156,1,15,0
86400,33,0,143,7,10,0
87300,33,2,143,3,11,0
88200,22,3,144,8,17,0
89100,25,2,144,10,17,0
90000,25,2,133,22,14,0
90900,12,2,132,41,13,0
91800,12,3,135,42,5,0
92700,8,1,135,47,8,0
93600,15,2,128,50,3,0
94500,13,4,127,51,5,0
95400,8,3,127,54,7,0
96300,11,2,127,51,8,0
97200,7,4,117,69,3,0
98100,5,6,117,67,4,0
99000,3,5,117,70,5,0
99900,2,3,117,73,5,0
100800,1,11,117,68,2,0
101700,2,6,117,72,2,0
102600,1,3,117,79,0,0
103500,1,8,117,74,0,0
104400,0,13,117,69,1,0
105300,0,7,117,75,1,0
106200,0,10,117,73,0,0
107100,0,8,117,75,0,0
108000,0,7,108,85,0,0
108900,1,10,106,82,1,0
109800,0,16,109,75,0,0
110700,0,13,111,76,0,0
111600,1,10,98,90,1,0
112500,1,15,97,87,0,0
113400,2,16,98,83,0,0
114300,1,12,100,86,0,0
115200,3,12,88,95,2,0
116100,7,14,89,88,1,0
117000,5,12,91,86,5,0
117900,5,13,95,83,3,0
118800,6,11,85,95,3,0
119700,8,11,84,90,5,0
120600,5,9,85,97,3,0
121500,9,18,88,81,1,0
122400,4,24,79,89,2,0
123300,11,19,79,85,5,0
124200,14,20,86,70,7,0
125100,15,13,87,78,6,0
126000,23,10,72,87,6,0
126900,22,19,75,69,13,0
127800,21,22,80,59,13,0
128700,24,14,81,69,12,0
129600,20,15,71,77,10,0
130500,30,18,69,69,11,0
131400,28,18,71,68,13,0
132300,26,12,72,73,14,0
133200,28,13,73,67,16,0
134100,23,13,73,67,19,0
135000,42,9,76,51,18,0
135900,25,9,77,63,20,0
136800,33,12,82,51,19,0
137700,34,15,84,40,22,0
138600,40,10,87,41,18,0
139500,36,7,88,46,18,0
140400,23,14,90,52,17,0
141300,34,8,91,50,13,0
142200,34,10,91,51,11,0
143100,35,8,92,53,10,0
144000,20,8,93,59,14,0
144900,27,5,93,58,15,0
145800,24,6,93,57,15,0
146700,31,8,96,47,13,0
147600,38,4,99,46,10,0
148500,29,8,100,49,12,0
149400,38,6,103,39,9,0
150300,28,3,104,51,11,0
151200,28,2,108,48,10,0
152100,37,7,115,22,12,0
153000,28,4,122,25,16,0
153900,21,3,125,29,16,0
154800,19,3,129,30,18,0
155700,25,2,130,26,15,0
156600,26,2,133,23,11,0
157500,28,0,136,22,13,0
158400,31,1,132,20,12,0
159300,19,2,134,29,15,0
160200,24,3,138,14,15,0
161100,17,2,142,19,14,0
162000,28,0,133,22,11,0
162900,12,1,132,37,16,0
163800,30,2,138,10,15,0
164700,21,1,141,16,16,0
165600,19,1,137,25,16,0
166500,14,3,140,29,9,0
167400,8,8,140,34,8,0
168300,22,4,144,19,7,0
169200,15,0,137,40,7,0
