operator_id,vehicle_id,vehicle_type,shift_type,status,start_time,finish_time,was_on_shift_break?,was_on_break?,rested_total,remaining_shift,selected_number_of_breaks,remaining_break,break_point,selected_break_duration,decreased_break,selected_bws_break_duration,decreased_bws,charge_and_rest_duration,decreased_from_planned_breaks
0,51,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,5603.7710400000005,6175.039999999972,4,0,42600,,0,39600.0,0.0,1333.7710400000003,1281.0
0,138,2022_bmw_i4_m50_driver_vehtype,day_shift,on_break,,,False,True,101148.0,30660.0,2,1,4949,1731.0,1731,,,,
0,1,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,84815.06512000001,5456.208320000022,2,0,42660,,0,39600.0,0.0,1169.8167999999996,0.0
0,118,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,waiting,,,False,False,86253.63934094287,18434.039999999964,5,3,42660,,0,39600.0,0.0,34.639340942878334,34.639340942878334
0,148,2022_bmw_i4_m50_driver_vehtype,day_shift,on_break,,,False,True,54460.0,31473.0,5,4,1788,1348.0,1348,,,,
0,198,2022_bmw_i4_m50_driver_vehtype,day_shift,on_break,,,False,True,67693.0,30210.0,5,4,1686,1417.0,1417,,,,
0,96,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,charging,,,False,False,71746.40934094292,35117.81000000001,1,0,42720,,0.0,39600.0,0.0,2856.4093409429115,2699.9999999999927
0,17,2019_fiat_500e_driver_vehtype,night_shift,waiting,,,False,False,7614.676160000015,7383.496159999999,2,0,42720,,0.0,39600.0,0.0,1.4551915228366852e-11,0.0
0,63,2019_fiat_500e_driver_vehtype,night_shift,on_break,,,False,True,5568.0,3175.1606205187936,4,0,26239,26.469379481232863,26.469379481232863,,,,
0,128,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,on_break,,,False,True,68515.0,32455.0,3,2,1407,1764.0,1764.0,,,,
0,106,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,charging,,,False,False,83102.0207744671,20024.59000000002,5,1,42780,,0,39600,0,2931.020774467084,2931.020774467084
0,17,2019_fiat_500e_driver_vehtype,night_shift,waiting,,,False,False,7614.67616000003,7383.496159999999,2,0,42780,,0,39600,0,1.4551915228366852e-11,0.0
0,7,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,5566.116480000013,5572.484880000007,2,0,42840,,0,39600,0,1249.2215999999994,0
0,38,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,6853.654544622574,5728.322944622556,3,0,42840,,0,39600,0,1276.1015999999997,0
0,58,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,85921.16131931583,3086.0940393156925,1.0,0.0,43080.0,,0.0,39600.0,0.0,1485.5772799999997,0.0
0,94,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,on_shift_break,14.090555555555556,12.0,True,False,78874.0,,,,,,,78874.0,78874.0,,
0,116,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,on_shift_break,15.687222222222223,12.0,True,False,112725.99999999999,,,,,,,73125.99999999999,73125.99999999999,,
0,131,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,on_shift_break,21.930555555555557,12.0,True,False,90250.0,,,,,,,50649.99999999999,50649.99999999999,,
0,172,2022_bmw_i4_m50_driver_vehtype,day_shift,on_shift_break,14.579444444444444,12.0,True,False,77114.0,,,,,,,77114.0,77114.0,,
0,180,2022_bmw_i4_m50_driver_vehtype,day_shift,on_shift_break,18.704722222222223,12.0,True,False,101863.0,,,,,,,62263.0,62263.0,,
0,189,2022_bmw_i4_m50_driver_vehtype,day_shift,on_shift_break,20.870555555555555,12.0,True,False,94066.0,,,,,,,54466.0,54466.0,,
0,191,2022_bmw_i4_m50_driver_vehtype,day_shift,on_shift_break,15.165833333333333,12.0,True,False,114603.0,,,,,,,75003.0,75003.0,,
0,187,2022_bmw_i4_m50_driver_vehtype,day_shift,on_shift_break,14.89861111111111,12.016666666666667,True,False,75965.00000000001,,,,,,,75965.00000000001,75965.00000000001,,
0,42,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,5667.35968,5911.3800000000265,4,1,43200,,0,39600,0,1184.35968,1184.35968
0,64,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,83577.97343999999,3004.0499999999374,2,0,43320,,0,39600,0,1366.9734399999998,0
0,81,2019_nissan_leaf_sl_plus_driver_vehtype,night_shift,on_break,,,False,True,85338,3504.0,4,0,26609,1743,1743,,,,
0,46,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,6931.500552915531,3401.3567129155663,4,0,43620,,0,39600,0,1139.7038399999994,194.20328708446823
0,101,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,charging,,,False,False,99302.44583919266,24366.909999999953,4,2,43620,,0,39600,0,2993.4458391926587,2993.4458391926587
0,133,2022_bmw_i4_m50_driver_vehtype,day_shift,on_break,,,False,True,89186.0,16516.0,2,0,19036,1687,1687,,,,
0,17,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,8739.143360000031,7383.496159999999,2,0,43920,,0,39600,0,1124.4672000000003,0
0,139,2022_bmw_i4_m50_driver_vehtype,day_shift,on_break,,,False,True,72945.00000000001,30662.000000000015,2,1,3029,1385,1385,,,,
0,63,2019_fiat_500e_driver_vehtype,night_shift,waiting,,,False,False,5568.000000000022,1865.3000000000466,4,0,44040,,0,39600,0,2.1827872842550278e-11,0
0,63,2019_fiat_500e_driver_vehtype,night_shift,waiting,,,False,False,5568.000000000036,1865.3000000000466,4,0,44160,,0,39600,0,1.4551915228366852e-11,0
0,104,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,charging,,,False,False,64727.21422433182,26537.479999999938,1,0,44220,,0,39600,0,3078.21422433182,2700.0
0,61,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,5988.948969610628,1625.2104896105739,2,0,44340,,0.0,39600.0,0.0,1372.6884800000003,0.0
0,26,2019_fiat_500e_driver_vehtype,night_shift,on_break,,,False,True,6052.0,1960.3467200000405,4,0,30816,454.97327999999925,454.97327999999925,,,,
0,112,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,waiting,,,False,False,57778.00000000003,18554.760000000028,3,2,44340,,0.0,39600.0,0.0,2.9103830456733704e-11,2.9103830456733704e-11
0,197,2022_bmw_i4_m50_driver_vehtype,day_shift,on_break,,,False,True,47151.0,21278.000000000004,3,1,9219,1484.0,1484.0,,,,
0,30,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,7952.47488,6578.301119999996,5,0,44400,,0,39600,0,1502.63376,47.158879999999954
0,112,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,waiting,,,False,False,57778.000000000044,18554.760000000028,3,2,44400,,0,39600,0,1.4551915228366852e-11,1.4551915228366852e-11
0,132,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,on_break,,,False,True,61056.0,16086.0,4,1,18575,1762,1762,,,,
0,114,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,on_break,,,False,True,87170.0,12192.0,1,0,18000,2700,2700,,,,
0,123,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,on_break,,,False,True,53216.99999999999,13595.999999999996,1,0,18000,2700,2700,,,,
0,34,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,87130.19047309521,6039.524473095222,4,0,45000,,0,39600.0,0.0,1330.776,0.0
0,182,2022_bmw_i4_m50_driver_vehtype,day_shift,on_break,,,False,True,66339.0,21542.999999999993,4,2,13254,1748.0,1748,,,,
0,80,2019_nissan_leaf_sl_plus_driver_vehtype,night_shift,charging,,,False,False,91295.87764900044,3875.9874796361673,5,0,45240,,0,39600.0,0.0,3066.1401693641633,0.0
0,111,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,charging,,,False,False,63274.96945319146,23235.019999999997,1,0,45240,,0,39600.0,0.0,3002.969453191464,2700.0
0,152,2022_bmw_i4_m50_driver_vehtype,day_shift,on_break,,,False,True,68056.0,26150.0,4,2,9824,1556.0,1556,,,,
0,63,2019_fiat_500e_driver_vehtype,night_shift,charging,,,False,False,6791.404640000037,1865.3000000000466,4,0,45420,,0,39600,0,1223.4046400000002,0
0,102,2019_nissan_leaf_sl_plus_driver_vehtype,day_shift,charging,,,False,False,45505.27024468644,17785.180000000008,5,1,45540,,0,39600,0,2917.270244686432,2917.270244686432
