time,event,station_id,ch_op_id,vid,op_id,veh_type,current_soc,socket_id,socket_power,initial_soc,transferred_power,connection_duration
1856.3555155610047,detach,219453,0,106,0,2019_fiat_500e,1.0,0,40,0.468,12.763727950677826,1148.7355155610044
1848.1682380196912,detach,168885,0,122,0,2019_fiat_500e,1.0,0,40,0.479,12.493091533552125,1124.3782380196913
2008.3172568496484,detach,115074,0,109,0,2019_fiat_500e,1.0,0,40,0.47,12.72163618721831,1144.947256849648
2091.3729101759823,detach,115150,0,6,0,2019_fiat_500e_driver_vehtype_HT,1.0,0,40,0.443,13.359587890844244,1202.362910175982
2302.047453076456,detach,115074,0,102,0,2019_fiat_500e,1.0,2,40,0.456,13.056971700849509,1175.1274530764558
2401.548335145023,detach,168885,0,9,0,2019_fiat_500e_driver_vehtype_HT,1.0,2,40,0.478,12.536648168278015,1128.2983351450216
2509.7064479589712,detach,115074,0,101,0,2019_fiat_500e,1.0,1,40,0.464,12.875849421766336,1158.8264479589702
2769.6883819825366,detach,115150,0,125,0,2019_fiat_500e,1.0,1,40,0.415,14.046870910917075,1264.2183819825368
2839.28,detach,115159,0,104,0,2019_fiat_500e,0.98,0,40,0.421,13.414333333333328,1207.2899999999993
3053.7980287173564,detach,115159,0,15,0,2019_fiat_500e_driver_vehtype_HT,1.0,1,40,0.408,14.217866985748408,1279.6080287173568
3140.051809896713,detach,115159,0,4,0,2019_fiat_500e_driver_vehtype_HT,1.0,2,40,0.424,13.817575665519012,1243.5818098967109
3131.666733748376,detach,168885,0,103,0,2019_fiat_500e,1.0,1,40,0.386,14.747185930537476,1327.2467337483731
3179.4471538897815,detach,150580,0,118,0,2019_fiat_500e,1.0,0,40,0.366,15.227968376553086,1370.5171538897775
3127.6528377076684,detach,168885,0,119,0,2019_fiat_500e,1.0,0,40,0.408,14.216273329866395,1279.4645996879758
3213.036557991488,detach,115095,0,21,0,2019_fiat_500e_driver_vehtype_HT,1.0,0,40,0.458,13.00007286657208,1170.0065579914874
3317.119368707282,detach,115095,0,126,0,2019_fiat_500e,1.0,1,40,0.462,12.91643743008091,1162.4793687072815
3364.667961289925,detach,115150,0,107,0,2019_fiat_500e,1.0,0,40,0.48,12.474644014332522,1122.7179612899272
3475.789369731311,detach,219453,0,11,0,2019_fiat_500e_driver_vehtype_HT,1.0,0,40,0.376,14.984104108125639,1348.5693697313077
3564.8818968947903,detach,115074,0,129,0,2019_fiat_500e,1.0,2,40,0.424,13.818798854386554,1243.6918968947898
3659.244658937014,detach,233092,0,110,0,2019_fiat_500e,1.0,0,40,0.441,13.42638509930015,1208.3746589370135
3652.5922617458573,detach,233092,0,115,0,2019_fiat_500e,1.0,1,40,0.443,13.365914019398403,1202.9322617458565
3844.68115949629,detach,115074,0,117,0,2019_fiat_500e,1.0,1,40,0.382,14.828901772180998,1334.6011594962897
3946.651885460694,detach,115095,0,124,0,2019_fiat_500e,1.0,2,40,0.461,12.941132060674379,1164.701885460694
3983.288246808227,detach,233092,0,10,0,2019_fiat_500e_driver_vehtype_HT,1.0,2,40,0.418,13.96598052009141,1256.9382468082267
3968.695876390611,detach,168885,0,100,0,2019_fiat_500e,1.0,2,40,0.303,16.71784307100675,1504.6058763906076
3976.477322716012,detach,115031,0,105,0,2019_fiat_500e,1.0,0,40,0.493,12.163414696844583,1094.7073227160126
4179.525796371231,detach,184330,0,39,0,2019_nissan_leaf_sl_plus_driver_vehtype_HT,1.0,0,40,0.492,31.499508848569207,2834.955796371231
4167.589629257036,detach,150580,0,111,0,2019_fiat_500e,1.0,1,40,0.277,17.341551436189278,1560.7396292570352
4257.313690561409,detach,115031,0,25,0,2019_fiat_500e_driver_vehtype_HT,1.0,1,40,0.457,13.029929895126774,1172.6936905614093
4239.275260348272,detach,115159,0,112,0,2019_fiat_500e,1.0,0,40,0.352,15.555502892758575,1399.9952603482716
4299.274768688225,detach,115159,0,116,0,2019_fiat_500e,1.0,1,40,0.427,13.749275207646992,1237.4347686882297
4266.56200439213,detach,115150,0,128,0,2019_fiat_500e,1.0,1,40,0.389,14.655800048801442,1319.0220043921295
4574.715007997076,detach,115159,0,5,0,2019_fiat_500e_driver_vehtype_HT,1.0,2,40,0.376,14.968500088856452,1347.1650079970805
4567.3125768991285,detach,168885,0,22,0,2019_fiat_500e_driver_vehtype_HT,1.0,0,40,0.338,15.882028632212549,1429.3825768991296
4642.320424991537,detach,115150,0,13,0,2019_fiat_500e_driver_vehtype_HT,1.0,0,40,0.453,13.12422694435041,1181.1804249915367
4895.3224387100345,detach,115095,0,123,0,2019_fiat_500e,1.0,1,40,0.481,12.444471541222605,1120.0024387100343
4943.606337864435,detach,115160,0,113,0,2019_fiat_500e,1.0,0,40,0.463,12.898625976271495,1160.8763378644344
4985.321773694877,detach,115074,0,45,0,2019_nissan_leaf_sl_plus_driver_vehtype_HT,1.0,0,40,0.466,33.077827964946955,2977.004516845229
5185.01077938037,detach,168885,0,120,0,2019_fiat_500e,1.0,1,40,0.353,15.532564215337507,1397.9307793803755
5369.219404908452,detach,115074,0,18,0,2019_fiat_500e_driver_vehtype_HT,1.0,1,40,0.438,13.490548943427235,1214.1494049084513
5638.933692116812,detach,168885,0,28,0,2019_fiat_500e_driver_vehtype_HT,1.0,2,40,0.362,15.322707690186814,1379.043692116813
6021.250384114246,detach,168885,0,114,0,2019_fiat_500e,1.0,0,40,0.402,14.356337601269352,1292.0703841142413
6380.504652593602,detach,184330,0,8,0,2019_fiat_500e_driver_vehtype_HT,1.0,0,40,0.371,15.09282947326229,1358.3546525936063
6396.320160262049,detach,115159,0,19,0,2019_fiat_500e_driver_vehtype_HT,1.0,0,40,0.418,13.978668447356094,1258.0801602620486
6379.037791080379,detach,115150,0,121,0,2019_fiat_500e,1.0,0,40,0.435,13.548864345337542,1219.3977910803787
6937.34441626642,detach,219453,0,44,0,2019_nissan_leaf_sl_plus_driver_vehtype_HT,1.0,0,40,0.447,34.29116018073797,3086.2044162664197
7551.870319999999,detach,115150,0,4,0,2019_fiat_500e_driver_vehtype_HT,1.0,0,40,0.482,12.429336888888884,1118.6403199999995
7571.177199999999,detach,168885,0,109,0,2019_fiat_500e,1.0,0,40,0.393,14.566079999999998,1310.9471999999996
7649.764697918009,detach,115095,0,197,0,2022_bmw_i4_m50,1.0,0,40,0.485,43.24505219908877,3892.0546979180085
