operator_id,vehicle_id,vehicle_type,shift_type,status,start_time,finish_time,was_on_shift_break?,was_on_break?,rested_total,remaining_shift,selected_number_of_breaks,remaining_break,break_point,selected_break_duration,decreased_break,selected_bws_break_duration,decreased_bws,charge_and_rest_duration,decreased_from_planned_breaks
0,93,2022_bmw_i4_m50_driver_vehtype_HT,day_shift,on_break,,,False,True,1458.0,29570.0,4,3,4281,1458.0,1458,,,,
0,21,2019_fiat_500e_driver_vehtype_HT,night_shift,charging,,,False,False,71277.49328000004,5959.090000000026,5,1,124620,,0,39600.0,0.0,1250.4932800000004,1250.4932800000004
0,53,2019_nissan_leaf_sl_plus_driver_vehtype_HT,day_shift,on_break,,,False,True,162089.28487660288,30436.304876602866,2,1,888,1395.0,1395,,,,
0,72,2022_bmw_i4_m50_driver_vehtype_HT,day_shift,on_break,,,False,True,156146.77649330982,25360.59999999999,4,2,10232,1619,1619,,,,
0,28,2019_fiat_500e_driver_vehtype_HT,night_shift,waiting,,,False,False,74179.3236800001,5416.01368000012,1,0,124920,,0,39600,0,1.0186340659856796e-10,0
0,10,2019_fiat_500e_driver_vehtype_HT,night_shift,on_break,,,False,True,147496.64847999997,7122.219200000029,3,0,22778,202.15951999998583,202.15951999998583,,,,
0,2,2019_fiat_500e_driver_vehtype_HT,night_shift,charging,,,False,False,6819.07184,2764.7487999999403,3,0,125100,,0,39600,0,1218.1030400000002,0
0,11,2019_fiat_500e_driver_vehtype_HT,night_shift,charging,,,False,False,64235.55736000001,3489.777599999921,2,0,125460,,0,39600,0,1207.1332799999993,0
0,38,2019_nissan_leaf_sl_plus_driver_vehtype_HT,night_shift,on_break,,,False,True,55656.81193195652,6902.523697192184,2,0,27255,1537,1537,,,,
0,41,2019_nissan_leaf_sl_plus_driver_vehtype_HT,night_shift,on_break,,,False,True,78870.2029306607,5280.262930660712,3,0,23729,1768,1768,,,,
0,27,2019_fiat_500e_driver_vehtype_HT,night_shift,charging,,,False,False,133400.88024571212,5591.980645712138,5,0,125700,,0,39600,0,1175.1496000000004,0
