sim_time,zone_id,horizon_start,horizon_end,number_idle,incoming,incoming_repo,tot_fc_demand,tot_fc_supply
600,209,600,1500,2,2,0,1.0,
600,211,600,1500,2,2,0,0.0,
600,87,600,1500,1,2,0,1.0,
600,88,600,1500,1,4,0,0.0,
600,100,600,1500,0,0,0,1.0,
600,230,600,1500,1,1,0,1.0,
600,231,600,1500,3,3,0,1.0,
600,233,600,1500,2,2,0,0.0,
600,234,600,1500,0,0,0,6.0,
600,107,600,1500,1,1,0,1.0,
600,236,600,1500,2,2,0,1.0,
600,237,600,1500,1,1,0,3.0,
600,238,600,1500,0,0,0,1.0,
600,239,600,1500,2,5,0,0.0,
600,114,600,1500,1,1,0,0.0,
600,246,600,1500,0,0,0,1.0,
600,249,600,1500,4,4,0,0.0,
600,4,600,1500,1,2,0,,
600,12,600,1500,0,0,0,,
600,13,600,1500,1,1,0,,
600,24,600,1500,0,2,0,,
600,41,600,1500,1,1,0,,
600,42,600,1500,3,3,0,,
600,43,600,1500,0,0,0,,
600,45,600,1500,2,2,0,,
600,50,600,1500,1,1,0,,
600,74,600,1500,0,0,0,,
600,75,600,1500,0,0,0,,
600,90,600,1500,0,0,0,,
600,113,600,1500,1,1,0,,
600,116,600,1500,2,2,0,,
600,120,600,1500,2,2,0,,
600,125,600,1500,1,1,0,,
600,127,600,1500,1,1,0,,
600,128,600,1500,0,0,0,,
600,152,600,1500,0,2,0,,
600,153,600,1500,0,0,0,,
600,166,600,1500,1,4,0,,
600,194,600,1500,1,1,0,,
600,224,600,1500,0,0,0,,
600,229,600,1500,1,1,0,,
600,232,600,1500,0,0,0,,
600,243,600,1500,2,5,0,,
600,244,600,1500,2,2,0,,
600,261,600,1500,0,0,0,,
600,263,600,1500,1,1,0,,
900,262,900,1800,1,1,0,1.0,
900,137,900,1800,0,0,0,1.0,
900,140,900,1800,0,0,0,2.0,
900,141,900,1800,0,0,0,1.0,
900,142,900,1800,2,4,0,1.0,
900,143,900,1800,1,1,0,1.0,
900,144,900,1800,1,1,0,0.0,
900,148,900,1800,1,1,0,2.0,
900,151,900,1800,0,0,0,0.0,
900,158,900,1800,1,1,0,1.0,
900,161,900,1800,1,1,0,1.0,
900,162,900,1800,0,0,0,4.0,
900,163,900,1800,0,0,0,1.0,
900,164,900,1800,0,0,0,2.0,
900,170,900,1800,1,1,0,3.0,
900,48,900,1800,2,2,0,1.0,
900,186,900,1800,0,0,0,1.0,
900,68,900,1800,0,0,0,2.0,
900,79,900,1800,0,1,0,6.0,
900,209,900,1800,2,2,0,1.0,
900,211,900,1800,2,2,0,0.0,
900,87,900,1800,1,4,0,1.0,
900,88,900,1800,1,3,0,0.0,
900,100,900,1800,0,0,0,1.0,
900,230,900,1800,1,1,0,1.0,
900,231,900,1800,1,1,0,1.0,
900,233,900,1800,2,2,0,0.0,
900,234,900,1800,0,0,0,6.0,
900,107,900,1800,1,1,0,1.0,
900,236,900,1800,2,2,0,1.0,
900,237,900,1800,1,1,0,3.0,
900,238,900,1800,0,1,0,1.0,
900,239,900,1800,2,5,0,0.0,
900,114,900,1800,1,1,0,0.0,
900,246,900,1800,0,0,0,1.0,
900,249,900,1800,3,3,0,0.0,
900,4,900,1800,0,2,0,,
