time,zone_id,out perfect_trips,out perfect_pax,in perfect_trips,in perfect_pax
900,261,0,0,1,1
900,262,0,0,1,1
900,137,0,0,2,2
900,141,1,1,0,0
900,142,2,2,0,0
900,143,1,1,1,1
900,144,4,4,2,2
900,13,0,0,1,1
900,148,3,3,3,3
900,151,1,1,1,1
900,152,0,0,1,1
900,158,3,3,4,4
900,161,2,2,0,0
900,163,1,1,1,1
900,164,2,2,0,0
900,170,2,2,3,3
900,42,0,0,1,1
900,45,0,0,1,1
900,48,3,3,0,0
900,186,2,2,3,3
900,68,0,0,2,2
900,74,1,1,0,0
900,75,0,0,1,1
900,79,7,7,1,1
900,211,0,0,2,2
900,87,1,1,3,3
900,90,2,2,5,5
900,224,0,0,1,1
900,100,3,3,2,2
900,229,0,0,1,1
900,230,5,5,0,0
900,231,3,3,2,2
900,232,0,0,1,1
900,233,0,0,2,2
900,234,4,4,1,1
900,107,2,2,2,2
900,236,0,0,2,2
900,237,3,3,2,2
900,238,0,0,1,1
900,239,0,0,4,4
900,114,5,5,3,3
900,244,0,0,2,2
900,246,1,1,0,0
900,249,4,4,2,2
900,125,1,1,1,1
1800,4,1,1,0,0
1800,261,0,0,2,2
1800,262,1,1,0,0
1800,137,0,0,1,1
1800,13,1,1,0,0
1800,141,1,1,0,0
1800,143,1,1,2,2
1800,144,2,2,3,3
1800,142,0,0,2,2
1800,148,4,4,0,0
1800,158,7,7,1,1
1800,161,2,2,0,0
1800,162,1,1,2,2
1800,163,1,1,1,1
1800,164,1,1,4,4
1800,42,1,1,2,2
1800,170,2,2,1,1
1800,48,5,5,3,3
1800,50,1,1,1,1
1800,186,7,7,3,3
1800,68,1,1,3,3
1800,75,0,0,2,2
1800,79,6,6,6,6
1800,211,0,0,1,1
1800,87,0,0,1,1
1800,88,0,0,1,1
1800,90,0,0,1,1
1800,224,0,0,2,2
1800,100,1,1,1,1
1800,229,2,2,3,3
1800,230,1,1,0,0
1800,231,1,1,2,2
1800,234,0,0,1,1
1800,107,2,2,5,5
1800,236,1,1,1,1
1800,237,1,1,0,0
1800,238,1,1,0,0
1800,239,1,1,1,1
1800,113,2,2,0,0
1800,114,3,3,3,3
1800,243,0,0,2,2
1800,244,0,0,1,1
1800,246,2,2,2,2
1800,249,6,6,1,1
1800,125,0,0,1,1
1800,127,0,0,1,1
2700,4,1,1,0,0
2700,261,1,1,1,1
2700,262,0,0,2,2
2700,137,1,1,2,2
2700,12,0,0,1,1
2700,13,1,1,2,2
2700,142,2,2,1,1
2700,143,1,1,0,0
