time,zone_id,out perfect_trips,out perfect_pax,in perfect_trips,in perfect_pax
900,4,8,8,14,14
900,261,5,5,24,24
900,262,6,6,18,18
900,137,19,19,42,42
900,140,3,3,14,14
900,13,6,6,24,24
900,141,28,28,30,30
900,142,37,37,36,36
900,143,8,8,22,22
900,144,38,38,35,35
900,148,108,108,62,62
900,151,7,7,17,17
900,152,2,2,3,3
900,24,0,0,13,13
900,158,59,59,46,46
900,161,43,43,31,31
900,162,41,41,42,42
900,163,29,29,31,31
900,164,62,62,51,51
900,166,8,8,12,12
900,41,10,10,17,17
900,42,3,3,12,12
900,43,9,9,8,8
900,170,39,39,65,65
900,45,3,3,9,9
900,48,104,104,75,75
900,50,17,17,19,19
900,186,49,49,53,53
900,68,65,65,66,66
900,74,8,8,15,15
900,75,8,8,20,20
900,79,128,128,112,112
900,209,7,7,4,4
900,211,35,35,16,16
900,87,20,20,28,28
900,88,6,6,7,7
900,90,51,51,46,46
900,224,4,4,12,12
900,100,33,33,33,33
900,229,20,20,24,24
900,230,101,101,30,30
900,231,28,28,41,41
900,232,4,4,12,12
900,233,18,18,32,32
900,234,61,61,49,49
900,107,63,63,42,42
900,236,13,13,31,31
900,237,24,24,32,32
900,238,16,16,21,21
900,239,26,26,31,31
900,113,25,25,21,21
900,114,68,68,38,38
900,243,1,1,9,9
900,116,2,2,11,11
900,244,2,2,10,10
900,246,27,27,31,31
900,249,91,91,58,58
900,125,14,14,12,12
900,127,0,0,1,1
1800,4,9,9,15,15
1800,261,6,6,14,14
1800,262,7,7,17,17
1800,137,21,21,48,48
1800,140,6,6,11,11
1800,13,4,4,13,13
1800,141,18,18,30,30
1800,142,41,41,28,28
1800,143,6,6,26,26
1800,144,44,44,29,29
1800,12,0,0,1,1
1800,148,129,129,65,65
1800,151,9,9,13,13
1800,24,3,3,8,8
1800,152,1,1,8,8
1800,158,61,61,40,40
1800,161,30,30,18,18
1800,162,26,26,38,38
1800,163,26,26,28,28
1800,164,59,59,50,50
1800,166,9,9,9,9
1800,41,5,5,15,15
1800,42,6,6,18,18
1800,43,10,10,13,13
1800,170,34,34,56,56
1800,45,7,7,9,9
1800,48,93,93,65,65
1800,50,24,24,28,28
1800,186,38,38,52,52
1800,68,51,51,43,43
1800,74,3,3,23,23
1800,75,8,8,27,27
1800,79,167,167,102,102
1800,209,6,6,9,9
1800,211,24,24,23,23
1800,87,12,12,24,24
1800,88,6,6,3,3
1800,90,48,48,40,40
1800,224,3,3,12,12
1800,100,33,33,13,13
1800,229,22,22,33,33
1800,230,71,71,30,30
1800,231,40,40,29,29
1800,232,6,6,10,10
1800,233,15,15,29,29
1800,234,49,49,42,42
1800,107,52,52,59,59
1800,236,10,10,19,19
1800,237,12,12,15,15
1800,238,11,11,34,34
1800,239,20,20,27,27
1800,113,23,23,24,24
