operator_id,vehicle_id,vehicle_type
0,0,2019_fiat_500e_driver_vehtype_HT
0,1,2019_fiat_500e_driver_vehtype_HT
0,2,2019_fiat_500e_driver_vehtype_HT
0,3,2019_fiat_500e_driver_vehtype_HT
0,4,2019_fiat_500e_driver_vehtype_HT
0,5,2019_fiat_500e_driver_vehtype_HT
0,6,2019_fiat_500e_driver_vehtype_HT
0,7,2019_fiat_500e_driver_vehtype_HT
0,8,2019_fiat_500e_driver_vehtype_HT
0,9,2019_fiat_500e_driver_vehtype_HT
0,10,2019_fiat_500e_driver_vehtype_HT
0,11,2019_fiat_500e_driver_vehtype_HT
0,12,2019_fiat_500e_driver_vehtype_HT
0,13,2019_fiat_500e_driver_vehtype_HT
0,14,2019_fiat_500e_driver_vehtype_HT
0,15,2019_fiat_500e_driver_vehtype_HT
0,16,2019_fiat_500e_driver_vehtype_HT
0,17,2019_fiat_500e_driver_vehtype_HT
0,18,2019_fiat_500e_driver_vehtype_HT
0,19,2019_fiat_500e_driver_vehtype_HT
0,20,2019_fiat_500e_driver_vehtype_HT
0,21,2019_fiat_500e_driver_vehtype_HT
0,22,2019_fiat_500e_driver_vehtype_HT
0,23,2019_fiat_500e_driver_vehtype_HT
0,24,2019_fiat_500e_driver_vehtype_HT
0,25,2019_fiat_500e_driver_vehtype_HT
0,26,2019_fiat_500e_driver_vehtype_HT
0,27,2019_fiat_500e_driver_vehtype_HT
0,28,2019_fiat_500e_driver_vehtype_HT
0,29,2019_fiat_500e_driver_vehtype_HT
0,30,2019_fiat_500e_driver_vehtype_HT
0,31,2019_fiat_500e_driver_vehtype_HT
0,32,2019_fiat_500e_driver_vehtype_HT
0,33,2019_nissan_leaf_driver_vehtype_HT
0,34,2019_nissan_leaf_driver_vehtype_HT
0,35,2019_nissan_leaf_driver_vehtype_HT
0,36,2019_nissan_leaf_driver_vehtype_HT
0,37,2019_nissan_leaf_driver_vehtype_HT
0,38,2019_nissan_leaf_driver_vehtype_HT
0,39,2019_nissan_leaf_driver_vehtype_HT
0,40,2019_nissan_leaf_driver_vehtype_HT
0,41,2019_nissan_leaf_driver_vehtype_HT
0,42,2019_nissan_leaf_driver_vehtype_HT
0,43,2019_nissan_leaf_driver_vehtype_HT
0,44,2019_nissan_leaf_driver_vehtype_HT
0,45,2019_nissan_leaf_driver_vehtype_HT
0,46,2019_nissan_leaf_driver_vehtype_HT
0,47,2019_nissan_leaf_driver_vehtype_HT
0,48,2019_nissan_leaf_driver_vehtype_HT
0,49,2019_nissan_leaf_driver_vehtype_HT
0,50,2019_nissan_leaf_driver_vehtype_HT
0,51,2019_nissan_leaf_driver_vehtype_HT
0,52,2019_nissan_leaf_driver_vehtype_HT
0,53,2019_nissan_leaf_driver_vehtype_HT
0,54,2019_nissan_leaf_driver_vehtype_HT
0,55,2019_nissan_leaf_driver_vehtype_HT
0,56,2019_nissan_leaf_driver_vehtype_HT
0,57,2019_nissan_leaf_driver_vehtype_HT
0,58,2019_nissan_leaf_driver_vehtype_HT
0,59,2019_nissan_leaf_driver_vehtype_HT
0,60,2019_nissan_leaf_driver_vehtype_HT
0,61,2019_nissan_leaf_driver_vehtype_HT
0,62,2019_nissan_leaf_driver_vehtype_HT
0,63,2019_nissan_leaf_driver_vehtype_HT
0,64,2019_nissan_leaf_driver_vehtype_HT
0,65,2019_nissan_leaf_driver_vehtype_HT
0,66,2022_bmw_i4_driver_vehtype_HT
0,67,2022_bmw_i4_driver_vehtype_HT
0,68,2022_bmw_i4_driver_vehtype_HT
0,69,2022_bmw_i4_driver_vehtype_HT
0,70,2022_bmw_i4_driver_vehtype_HT
0,71,2022_bmw_i4_driver_vehtype_HT
0,72,2022_bmw_i4_driver_vehtype_HT
0,73,2022_bmw_i4_driver_vehtype_HT
0,74,2022_bmw_i4_driver_vehtype_HT
0,75,2022_bmw_i4_driver_vehtype_HT
0,76,2022_bmw_i4_driver_vehtype_HT
0,77,2022_bmw_i4_driver_vehtype_HT
0,78,2022_bmw_i4_driver_vehtype_HT
0,79,2022_bmw_i4_driver_vehtype_HT
0,80,2022_bmw_i4_driver_vehtype_HT
0,81,2022_bmw_i4_driver_vehtype_HT
0,82,2022_bmw_i4_driver_vehtype_HT
0,83,2022_bmw_i4_driver_vehtype_HT
0,84,2022_bmw_i4_driver_vehtype_HT
0,85,2022_bmw_i4_driver_vehtype_HT
0,86,2022_bmw_i4_driver_vehtype_HT
0,87,2022_bmw_i4_driver_vehtype_HT
0,88,2022_bmw_i4_driver_vehtype_HT
0,89,2022_bmw_i4_driver_vehtype_HT
0,90,2022_bmw_i4_driver_vehtype_HT
0,91,2022_bmw_i4_driver_vehtype_HT
0,92,2022_bmw_i4_driver_vehtype_HT
0,93,2022_bmw_i4_driver_vehtype_HT
0,94,2022_bmw_i4_driver_vehtype_HT
0,95,2022_bmw_i4_driver_vehtype_HT
0,96,2022_bmw_i4_driver_vehtype_HT
0,97,2022_bmw_i4_driver_vehtype_HT
0,98,2022_bmw_i4_driver_vehtype_HT
0,99,2022_bmw_i4_driver_vehtype_HT
0,100,2019_fiat_500e
0,101,2019_fiat_500e
0,102,2019_fiat_500e
0,103,2019_fiat_500e
0,104,2019_fiat_500e
0,105,2019_fiat_500e
0,106,2019_fiat_500e
0,107,2019_fiat_500e
0,108,2019_fiat_500e
0,109,2019_fiat_500e
0,110,2019_fiat_500e
0,111,2019_fiat_500e
0,112,2019_fiat_500e
0,113,2019_fiat_500e
0,114,2019_fiat_500e
0,115,2019_fiat_500e
0,116,2019_fiat_500e
